geography,population,year
Canada,39276140,2022
Newfoundland and Labrador,533444,2022
Prince Edward Island,169146,2022
Nova Scotia,1035666,2022
New Brunswick,817766,2022
Quebec,8730868,2022
Ontario,15283961,2022
Manitoba,1423596,2022
Saskatchewan,1187607,2022
Alberta,4561350,2022
British Columbia,5403528,2022
Yukon,44113,2022
Northwest Territories,44664,2022
Nunavut,40431,2022
Canada,39498018,2023
Newfoundland and Labrador,534964,2023
Prince Edward Island,169935,2023
Nova Scotia,1040195,2023
New Brunswick,820943,2023
Quebec,8767038,2023
Ontario,15378179,2023
Manitoba,1432674,2023
Saskatchewan,1194869,2023
Alberta,4598444,2023
British Columbia,5431355,2023
Yukon,44386,2023
Northwest Territories,44515,2023
Nunavut,40521,2023
Canada,40528396,2024
Newfoundland and Labrador,540418,2024
Prince Edward Island,175853,2024
Nova Scotia,1066416,2024
New Brunswick,842725,2024
Quebec,8948540,2024
Ontario,15801768,2024
Manitoba,1465440,2024
Saskatchewan,1218976,2024
Alberta,4756408,2024
British Columbia,5581127,2024
Yukon,45148,2024
Northwest Territories,44760,2024
Nunavut,40817,2024
